fft_0, fft_1, fft_2, zf_0, zf_1, zf_2, demul_0, demul_1, demul_2, decode_0, decode_1, decode_2
276.629 1109.651 3560.321 45.954 55.952 984.590 352.503 260.997 479.396 9.656 1750.101 0.000
267.718 1083.372 3688.594 43.519 53.385 980.438 353.183 262.666 499.344 7.516 1748.095 0.000
271.184 993.125 3542.407 46.154 56.623 987.864 354.552 261.278 492.717 7.439 1749.923 0.000
261.458 972.697 3557.419 44.232 54.418 987.221 352.947 262.527 521.659 6.970 1749.277 0.000
272.823 991.927 3420.638 45.539 55.948 985.349 353.181 260.957 495.630 9.400 1748.340 0.000
263.405 972.109 3572.121 43.540 53.525 983.774 347.513 262.362 522.998 7.230 1747.083 0.000
268.931 973.045 3566.858 46.084 56.429 975.699 354.993 261.928 488.030 9.510 1747.436 0.000
274.009 1110.158 3585.702 43.576 53.599 981.283 356.149 262.911 506.337 5.686 1747.451 0.000
273.210 1082.606 3737.373 45.759 55.778 981.846 353.693 260.780 483.374 9.186 1751.388 0.000
269.154 1015.514 3458.892 44.015 54.349 987.483 352.139 262.946 506.983 7.306 1750.713 0.000
264.881 991.057 3611.743 46.807 56.763 981.990 353.382 261.465 473.043 8.613 1749.102 0.000
267.132 998.734 3376.923 43.534 53.508 980.656 345.315 263.798 478.989 7.720 1782.688 0.000
260.010 961.675 3646.155 47.792 58.186 985.201 340.355 260.269 439.478 9.878 1751.290 0.000
256.825 957.989 3683.505 44.570 54.479 978.506 336.064 260.816 434.266 8.618 1745.114 0.000
278.801 1107.506 3476.609 45.650 55.495 978.582 355.251 262.301 534.355 8.573 1750.954 0.000
269.798 1081.195 3558.492 43.769 53.561 977.346 355.190 263.196 480.526 6.611 1747.143 0.000
278.692 1110.026 3583.895 47.097 57.306 981.310 353.215 260.914 480.147 9.144 1747.325 0.000
269.407 1076.194 3684.228 43.270 53.278 983.783 353.707 262.899 516.093 8.211 1750.096 0.000
272.428 992.925 3443.251 45.450 55.343 975.989 354.288 262.124 488.161 8.334 1750.175 0.000
261.311 969.591 3617.487 43.773 53.870 971.716 359.603 263.197 499.311 6.787 1747.292 0.000
272.307 991.752 3561.065 46.104 56.432 978.304 352.594 262.837 472.421 8.287 1751.122 0.000
265.664 970.630 3671.247 43.744 53.525 975.447 357.370 262.667 517.007 8.461 1747.191 0.000
271.388 971.416 3626.292 44.953 55.126 974.315 352.848 261.589 503.713 9.490 1749.979 0.000
